# token	lemma	pos	gloss
नमः	नमस्	indeclinable	salutation
गण	गण	noun	group
गणना	गणना	noun	calculation
कार	कार	noun	doing or operation
अक्षर	अक्षर	noun	syllable or letter
पुनः	पुनर्	indeclinable	again
तथा	तथा	indeclinable	thus
तत्र	तद्	adverb	there
इति	इति	particle	thus quoted
अर्थ	अर्थ	noun	meaning
शब्द	शब्द	noun	word or sound
पद	पद	noun	word or step
वाक्य	वाक्य	noun	sentence
व्याकरण	व्याकरण	noun	grammar
भाषा	भाषा	noun	language
पाठ	पाठ	noun	reading
रूप	रूप	noun	form
लक्षण	लक्षण	noun	mark or characteristic
संज्ञा	संज्ञा	noun	technical designation
भेद	भेद	noun	distinction
युक्ति	युक्ति	noun	method
समास	समास	noun	compound
संधि	संधि	noun	euphonic combination
विभक्ति	विभक्ति	noun	case ending
धातु	धातु	noun	verbal root
प्रयोग	प्रयोग	noun	usage
सूत्र	सूत्र	noun	authoritative aphorism
शास्त्र	शास्त्र	noun	treatise
सिद्ध	सिद्ध	adjective	accomplished or proven
प्रमाण	प्रमाण	noun	measure or proof
शुद्ध	शुद्ध	adjective	pure or corrected
व्याख्या	व्याख्या	noun	explanation
क्रम	क्रम	noun	sequence
स्थान	स्थान	noun	place
गोचर	गोचर	adjective	accessible or evident
त्राण	त्राण	noun	protection
देव	देव	noun	deity
भानु	भानु	noun	sun
चन्द्र	चन्द्र	noun	moon
राशि	राशि	noun	zodiac sign or heap
क्षिति	क्षिति	noun	earth
मही	मही	noun	earth
अयन	अयन	noun	course or movement
नयन	नयन	noun	eye or leading
कर्म	कर्म	noun	action
भवति	भू	verb	becomes
अस्ति	अस्	verb	is
मम	मद्	pronoun	my
एतत्	एतद्	pronoun	this
तत्	तद्	pronoun	that
सर्व	सर्व	adjective	all
मह	महत्	adjective	great
वर्ण	वर्ण	noun	letter or class
नाम	नामन्	noun	name
करण	करण	noun	instrument or procedure
भाष्य	भाष्य	noun	commentary
टीका	टीका	noun	gloss or commentary
निरुक्त	निरुक्त	noun	etymological explanation
विधि	विधि	noun	rule or method
ज्ञान	ज्ञान	noun	knowledge
अध्याय	अध्याय	noun	chapter
श्लोक	श्लोक	noun	verse
